,Date,Ticker,Title,Direction,Market Cap,Editor-Picks,Author-Followers,Initial-Stock-Price,Current-Stock-Price10,Current-Stock-Price30,Current-Stock-Price90,sp500-Price10,sp500-Price30,sp500-Price90,stock_change10,stock_change30,stock_change90,sp500_change10,sp500_change30,sp500_change90
0,"Oct.  1, 2014 11:40 PM ET",WFC,Should You Consider Adding To An Already Oversize Position In Berkshire?,long,340199120802,Regular,698,50.73,49.98,52.40,55.06,1968.89,2018.05,2080.35,-1.4784151389710232,3.2919377094421485,8.535383402326051,-0.4505005561735188,2.035089493376479,5.185054100515722
1,"Oct.  1, 2014 11:30 PM ET",AGNC,American Capital Agency Is Becoming More Transparent And Adding Shareholder Value,long,7415618621,Regular,"1,134",20.42,21.53,21.86,21.69,1968.89,2018.05,2080.35,5.4358472086189975,7.051909892262476,6.21939275220372,-0.4505005561735188,2.035089493376479,5.185054100515722
2,"Oct.  1, 2014 11:07 PM ET",SLV,Gold Is Not In A Bear Market,no position,27912512000,Regular,"1,047",16.41,16.64,15.50,15.58,1968.89,2018.05,2080.35,1.4015843997562487,-5.54539914686167,-5.05789152955515,-0.4505005561735188,2.035089493376479,5.185054100515722
3,"Oct.  1, 2014 10:51 PM ET",SNTA,"Update: Synta Pharmaceuticals Files Insider Buying With SEC, As I Said Carpe Diem",long,256993781,Regular,"2,790",3.16,2.76,2.96,2.60,1968.89,2018.05,2080.35,-12.658227848101278,-6.329113924050639,-17.72151898734177,-0.4505005561735188,2.035089493376479,5.185054100515722
4,"Oct.  1, 2014 10:44 PM ET",PG,Procter &amp; Gamble Offers Potential 25%+ Upside Thanks To Its Rock-Solid Dividend,no position,221684855557,Regular,507,81.84,83.45,86.65,91.75,1968.89,2018.05,2080.35,1.9672531769305956,5.877321603128057,12.10899315738025,-0.4505005561735188,2.035089493376479,5.185054100515722
5,"Oct.  1, 2014  9:38 PM ET",MCO,Dividend Aristocrats In Focus Part 9 Of 54: McGraw-Hill Financial&#x27;s Durable Competitive Advantage,no position,28709295000,Regular,"1,860",91.85,91.48,98.61,96.38,1968.89,2018.05,2080.35,-0.4028307022318893,7.359825802939582,4.93195427327164,-0.4505005561735188,2.035089493376479,5.185054100515722
6,"Oct.  1, 2014  8:48 PM ET",VZ,Hershey Probably Isn&#x27;t The Most Attractive Dividend Growth Stock In The Food Products Industry,long,22215300824,Regular,"2,765",48.17,48.37,49.66,46.78,1968.89,2018.05,2080.35,0.4151961801951333,3.093211542453799,-2.8856134523562393,-0.4505005561735188,2.035089493376479,5.185054100515722
7,"Oct.  1, 2014  6:30 PM ET",NKE,Nike&#x27;s Strong Growth Brings Good News For Investors,no position,83836594175,Regular,111,88.79,86.69,92.44,96.60,1968.89,2018.05,2080.35,-2.365131208469432,4.110823290911129,8.796035589593409,-0.4505005561735188,2.035089493376479,5.185054100515722
8,"Oct.  1, 2014  6:23 PM ET",PEP,PepsiCo: Time To Get Going,no position,141877490475,Regular,602,91.36,93.41,94.91,95.32,1968.89,2018.05,2080.35,2.2438704028020986,3.885726795096319,4.334500875656736,-0.4505005561735188,2.035089493376479,5.185054100515722
9,"Oct.  1, 2014  6:15 PM ET",VZ,A New 2x ETN From ETRACS Focuses On High Dividends And Low Volatility,no position,25940000,Regular,"2,439",48.17,48.37,49.66,46.78,1968.89,2018.05,2080.35,0.4151961801951333,3.093211542453799,-2.8856134523562393,-0.4505005561735188,2.035089493376479,5.185054100515722
