,Date,Ticker,Title,Direction,Direction_Num,Market Cap,Editor-Picks,Author-Followers,Initial-Stock-Price,Current-Stock-Price10,Current-Stock-Price30,Current-Stock-Price90,sp500-Price10,sp500-Price30,sp500-Price90,stock_change10,stock_change30,stock_change90,sp500_change10,sp500_change30,sp500_change90,difference10,difference30,difference90,status10,status30,status90
0,"Jan.  1, 2014 11:45 PM ET",LNKD,LinkedIn: What Is Hidden Behind The Losses?,NA,4.0,32420608291,2.0,315,207.64,218.75,215.21,187.96,1837.49,1782.59,1885.52,5.350606819495287,3.6457329994220875,-9.477942592949326,0.3007674756274627,-2.695990130896631,2.9225209882203935,5.049839343867824,6.3417231303187185,-12.400463581169719,1.0,1.0,0.0
1,"Jan.  1, 2014  2:46 PM ET",TKF,Is This The Best Emerging Market For 2014?,NA,4.0,450917500,2.0,178,10.57,10.57,9.70,10.54,1837.49,1782.59,1885.52,0.0,-8.230842005676452,-0.28382213812678464,0.3007674756274627,-2.695990130896631,2.9225209882203935,-0.3007674756274627,-5.534851874779822,-3.206343126347178,0.0,0.0,0.0
2,"Jan.  1, 2014  2:41 PM ET",CSCO,"Cisco Systems: Undervalued With Strong Fundamentals, But Is It A Buy?",NA,4.0,142626398468,2.0,"1,030",21.34,21.55,21.25,22.60,1837.49,1782.59,1885.52,0.9840674789128436,-0.42174320524835923,5.904404873477046,0.3007674756274627,-2.695990130896631,2.9225209882203935,0.6833000032853809,2.2742469256482716,2.9818838852566523,0.0,0.0,0.0
3,"Jan.  1, 2014  1:14 PM ET",COH,ModernGraham Valuation Of Coach Inc.,NA,4.0,11375272461,2.0,"3,360",53.60,53.77,45.91,47.94,1837.49,1782.59,1885.52,0.3171641791044808,-14.347014925373141,-10.55970149253732,0.3007674756274627,-2.695990130896631,2.9225209882203935,0.016396703477018104,-11.65102479447651,-13.482222480757713,0.0,0.0,0.0
4,"Jan.  1, 2014  1:12 PM ET",QCOM,3 Reasons To Buy Alcatel-Lucent In 2014,NA,4.0,10989591148,2.0,25,71.36,71.90,72.24,78.33,1837.49,1782.59,1885.52,0.7567264573991119,1.2331838565022357,9.767376681614348,0.3007674756274627,-2.695990130896631,2.9225209882203935,0.45595898177164923,3.9291739873988667,6.844855693393955,0.0,0.0,1.0
5,"Jan.  1, 2014  1:08 PM ET",AAPL,iTV Will Boost Apple,NA,4.0,719880605320,2.0,25,77.09,74.27,69.76,75.94,1837.49,1782.59,1885.52,-3.658062005448187,-9.508366843948629,-1.4917628745622074,0.3007674756274627,-2.695990130896631,2.9225209882203935,-3.9588294810756497,-6.812376713051998,-4.414283862782601,0.0,0.0,0.0
6,"Jan.  1, 2014 12:50 PM ET",QCOM,"Intel Inside Apple: Macs Now, Tablets Later",NA,4.0,146484480000,2.0,853,71.36,71.90,72.24,78.33,1837.49,1782.59,1885.52,0.7567264573991119,1.2331838565022357,9.767376681614348,0.3007674756274627,-2.695990130896631,2.9225209882203935,0.45595898177164923,3.9291739873988667,6.844855693393955,0.0,0.0,1.0
7,"Jan.  1, 2014  9:37 AM ET",ACAS,"American Capital Agency: Very Attractive, But Not A No-Brainer Yet",NA,4.0,7457953266,1.0,678,15.44,16.02,15.61,15.63,1837.49,1782.59,1885.52,3.7564766839378247,1.1010362694300513,1.2305699481865369,0.3007674756274627,-2.695990130896631,2.9225209882203935,3.455709208310362,3.7970264003266823,-1.6919510400338567,0.0,0.0,0.0
8,"Jan.  1, 2014  9:18 AM ET",NLY,American Capital Agency: Current Price Is An Ideal Entry Point,NA,4.0,7457953266,2.0,8,9.00,9.20,9.68,10.16,1837.49,1782.59,1885.52,2.2222222222222143,7.555555555555553,12.888888888888891,0.3007674756274627,-2.695990130896631,2.9225209882203935,1.9214547465947516,10.251545686452184,9.966367900668498,0.0,1.0,1.0
9,"Jan.  1, 2014  9:10 AM ET",FCSC,Fibrocell Science: An Attractive Healthcare Investment,NA,4.0,220218233,1.0,262,4.07,5.10,4.92,5.03,1837.49,1782.59,1885.52,25.30712530712529,20.884520884520875,23.587223587223587,0.3007674756274627,-2.695990130896631,2.9225209882203935,25.006357831497827,23.580511015417507,20.664702599003192,1.0,1.0,1.0
